Year,G,AG,ARI,IAB,ATL,AC,BBS,BEG,BAL,BLA,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CHT,CLE,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,OAK,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
2021,70,,20,,30,,,,22,,,42,,,38,,43,35,,,,,,,,37,,,,,28,,,,,,,,,29,,,,,39,,,,,,,30,,33,41,,,29,,38,27,,,,,,35,35,,,,,43,,33,,,,,23,,38,43,34,35,,,,43,25,,33,,30,,
2020,60,,25,,35,,,,25,,,24,,,34,,35,31,,,,,,,,35,,,,,26,,,,,,,,,23,,,,,29,,,,,,,26,,26,43,,,31,,29,36,,,,,,26,33,,,,,36,,28,,,,,19,,37,29,27,30,,,,40,22,,32,,26,,
2019,162,,85,,97,,,,54,,,84,,,84,,72,75,,,,,,,,93,,,,,71,,,,,,,,,47,,,,,107,,,,,,,59,,72,106,,,57,,89,101,,,,,,86,103,,,,,97,,81,,,,,69,,70,77,68,91,,,,96,78,,67,,93,,
2018,163,,82,,90,,,,47,,,108,,,95,,62,67,,,,,,,,91,,,,,91,,,,,,,,,64,,,,,103,,,,,,,58,,80,92,,,63,,96,78,,,,,,77,100,,,,,97,,80,,,,,82,,66,73,89,88,,,,90,67,,73,,82,,
2017,162,,93,,72,,,,75,,,93,,,92,,67,68,,,,,,,,102,,,,,87,,,,,,,,,64,,,,,101,,,,,,,80,,80,104,,,77,,86,85,,,,,,70,91,,,,,75,,66,,,,,75,,71,64,78,83,,,,80,78,,76,,97,,
2016,162,,69,,68,,,,89,,,93,,,103,,78,68,,,,,,,,94,,,,,75,,,,,,,,,86,,,,,84,,,,,,,81,,74,91,,,79,,73,59,,,,,,87,84,,,,,69,,71,,,,,78,,68,87,86,86,,,,68,95,,89,,95,,
2015,162,,79,,67,,,,81,,,78,,,97,,76,64,,,,,,,,81,,,,,68,,,,,,,,,74,,,,,86,,,,,,,95,,85,92,,,71,,68,83,,,,,,90,87,,,,,68,,63,,,,,98,,74,84,76,100,,,,80,88,,93,,83,,
2014,162,,64,,79,,,,96,,,71,,,73,,73,76,,,,,,,,85,,,,,66,,,,,,,,,90,,,,,70,,,,,,,89,,98,94,,,77,,82,70,,,,,,79,84,,,,,88,,73,,,,,88,,77,88,87,90,,,,77,67,,83,,96,,
2013,163,,81,,96,,,,85,,,97,,,66,,63,90,,,,,,,,92,,,,,74,,,,,,,,,93,,,,,51,,,,,,,86,,78,92,,,62,,74,66,,,,,,74,85,,,,,96,,73,,,,,94,,76,76,71,97,,,,92,91,,74,,86,,
2012,162,,81,,94,,,,93,,,69,,,61,,85,97,,,,,,,,68,,,,,64,,,,,,,,,88,,,,,55,,,,,,,72,,89,86,,,69,,83,66,,,,,,74,95,,,,,94,,81,,,,,79,,76,94,75,88,,,,90,93,,73,,98,,
2011,162,,94,,89,,,,69,,,90,,,71,,79,79,,,,,,,,80,,,,,73,,,,,,,,,95,,,,,56,,,,,,,71,,86,82,,,72,,96,63,,,,,,77,97,,,,,74,,102,,,,,72,,71,86,67,90,,,,91,96,,81,,80,,
2010,162,,65,,91,,,,66,,,89,,,75,,88,91,,,,,,,,69,,,,,83,,,,,,,,,81,,,,,76,,,,,,,67,,80,80,,,80,,77,94,,,,,,79,95,,,,,81,,97,,,,,57,,90,92,61,86,,,,96,90,,85,,69,,
2009,163,,70,,86,,,,64,,,95,,,83,,79,78,,,,,,,,65,,,,,92,,,,,,,,,86,,,,,74,,,,,,,65,,97,95,,,87,,80,87,,,,,,70,103,,,,,75,,93,,,,,62,,75,88,85,91,,,,84,87,,75,,59,,
2008,163,,82,,72,,,,68,,,95,,,97,,89,74,,,,,,,,81,,,,,74,,,,,,,,,74,,,,,86,,,,,,,75,,100,84,,,84,,90,88,,,,,,89,89,,,,,75,,92,,,,,67,,63,72,61,86,,,,97,79,,86,,59,,
2007,163,,90,,84,,,,69,,,96,,,85,,72,72,,,,,,,,96,,,,,90,,,,,,,,,88,,,,,73,,,,,,,69,,94,82,,,71,,83,79,,,,,,88,94,,,,,76,,89,,,,,68,,89,71,88,78,,,,66,75,,83,,73,,
2006,162,,76,,79,,,,70,,,86,,,66,,90,80,,,,,,,,78,,,,,76,,,,,,,,,95,,,,,82,,,,,,,62,,89,88,,,78,,75,96,,,,,,97,97,,,,,93,,85,,,,,67,,88,76,78,83,,,,61,80,,87,,71,,
2005,162,,77,,90,,,,74,,,95,,,79,,99,73,,,,,,,,93,,,,,67,,,,,,,,,71,,,,,89,,,,,,,56,,95,71,,,83,,81,83,,,,,,83,95,,,,,88,,88,,,,,67,,82,75,69,100,,,,67,79,,80,,81,,
2004,162,,51,,96,,,,78,,,98,,,89,,83,76,,,,,,,,80,,,,,68,,,,,,,,,72,,,,,92,,,,,,,58,,92,93,,,83,,67,92,,,,,,71,101,,,,,91,,86,,,,,72,,87,91,63,105,,,,70,89,,67,,67,,
2003,162,,84,,101,,,,71,,,95,,,88,,86,69,,,,,,,,68,,,,,74,,,,,,,,,43,,,,,87,,,,,,,83,,77,85,,,91,,68,90,,,,,,66,101,,,,,96,,86,,,,,75,,64,100,93,85,,,,63,71,,86,,83,,
2002,162,,98,,101,,,,67,,,93,,,67,,81,78,,,,,,,,74,,,,,73,,,,,,,,,55,,,,,84,,,,,,,62,,99,92,,,79,,56,94,,,,,,75,103,,,,,103,,80,,,,,72,,66,95,93,97,,,,55,72,,78,,83,,
2001,162,,92,,88,,,,63,,,82,,,88,,83,66,,,,,,,,91,,,,,73,,,,,,,,,66,,,,,93,,,,,,,65,,75,86,,,76,,68,85,,,,,,82,95,,,,,102,,86,,,,,62,,79,90,116,93,,,,62,73,,80,,68,,
2000,162,,85,,95,,,,74,,,85,,,65,,95,85,,,,,,,,90,,,,,82,,,,,,,,,79,,,,,72,,,,,,,77,,82,86,,,79,,73,69,,,,,,94,87,,,,,91,,65,,,,,69,,76,97,91,95,,,,69,71,,83,,67,,
1999,163,,100,,103,,,,78,,,94,,,67,,75,96,,,,,,,,97,,,,,72,,,,,,,,,69,,,,,97,,,,,,,64,,70,77,,,64,,74,63,,,,,,97,98,,,,,87,,77,,,,,78,,74,86,79,75,,,,69,95,,84,,68,,
1998,163,,65,,106,,,,79,,,92,,,90,,80,77,,,,,,,,89,,,,,77,,,,,,,,,65,,,,,102,,,,,,,72,,85,83,,,54,,74,70,,,,,,88,114,,,,,74,,75,,,,,69,,98,89,76,83,,,,63,88,,88,,65,,
